chrom	start	end	strand	source	field_type	gene_type	gene_status	gene_name	transcript_type	transcript_status	transcript_name	gene_id	transcript_id
chr1	1189850	1209265	-	HAVANA	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-001	ENSG00000160087.16	ENST00000349431.6
chr1	1190285	1201503	-	ENSEMBL	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-201	ENSG00000160087.16	ENST00000339385.6
chr1	1190285	1209244	-	ENSEMBL	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-203	ENSG00000160087.16	ENST00000348298.7
chr1	1190365	1209235	-	HAVANA	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-016	ENSG00000160087.16	ENST00000400929.2
chr1	1190544	1209106	-	HAVANA	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-011	ENSG00000160087.16	ENST00000360466.2
chr1	1190558	1209213	-	HAVANA	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-015	ENSG00000160087.16	ENST00000400930.4
chr1	1190775	1209224	-	HAVANA	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-010	ENSG00000160087.16	ENST00000435198.1
chr1	1190819	1209207	-	HAVANA	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	PUTATIVE	UBE2J2-019	ENSG00000160087.16	ENST00000509720.1
chr1	1192607	1209217	-	HAVANA	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-014	ENSG00000160087.16	ENST00000422076.1
chr1	1192650	1209234	-	HAVANA	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-017	ENSG00000160087.16	ENST00000502382.1
chr1	1203242	1208851	-	HAVANA	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-013	ENSG00000160087.16	ENST00000488418.1
chr1	1215816	1227399	+	HAVANA	transcript	protein_coding	KNOWN	SCNN1D	protein_coding	KNOWN	SCNN1D-008	ENSG00000162572.15	ENST00000379116.5
chr1	1215968	1227404	+	HAVANA	transcript	protein_coding	KNOWN	SCNN1D	protein_coding	KNOWN	SCNN1D-001	ENSG00000162572.15	ENST00000338555.2
chr1	1217305	1221548	+	HAVANA	transcript	protein_coding	KNOWN	SCNN1D	protein_coding	NOVEL	SCNN1D-006	ENSG00000162572.15	ENST00000470022.1
chr1	1217489	1227404	+	HAVANA	transcript	protein_coding	KNOWN	SCNN1D	protein_coding	KNOWN	SCNN1D-003	ENSG00000162572.15	ENST00000325425.8
chr1	1217576	1227409	+	ENSEMBL	transcript	protein_coding	KNOWN	SCNN1D	protein_coding	KNOWN	SCNN1D-201	ENSG00000162572.15	ENST00000400928.3
chr1	1222489	1226323	+	HAVANA	transcript	protein_coding	KNOWN	SCNN1D	protein_coding	KNOWN	SCNN1D-005	ENSG00000162572.15	ENST00000379099.3
chr1	1227756	1243398	-	HAVANA	transcript	protein_coding	KNOWN	ACAP3	protein_coding	NOVEL	ACAP3-001	ENSG00000131584.14	ENST00000354700.5
chr1	1227764	1243269	-	ENSEMBL	transcript	protein_coding	KNOWN	ACAP3	protein_coding	KNOWN	ACAP3-201	ENSG00000131584.14	ENST00000353662.3
chr1	1243947	1247057	+	HAVANA	transcript	protein_coding	KNOWN	PUSL1	protein_coding	KNOWN	PUSL1-001	ENSG00000169972.7	ENST00000379031.5
chr1	1244201	1246449	+	HAVANA	transcript	protein_coding	KNOWN	PUSL1	protein_coding	PUTATIVE	PUSL1-003	ENSG00000169972.7	ENST00000467712.1
chr1	1246977	1260071	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	KNOWN	CPSF3L-001	ENSG00000127054.14	ENST00000435064.1
chr1	1246981	1260053	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	NOVEL	CPSF3L-011	ENSG00000127054.14	ENST00000411962.1
chr1	1246986	1260017	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	PUTATIVE	CPSF3L-007	ENSG00000127054.14	ENST00000421495.2
chr1	1246986	1260033	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	KNOWN	CPSF3L-009	ENSG00000127054.14	ENST00000419704.1
chr1	1246986	1259989	-	ENSEMBL	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	KNOWN	CPSF3L-201	ENSG00000127054.14	ENST00000540437.1
chr1	1247199	1260050	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	KNOWN	CPSF3L-023	ENSG00000127054.14	ENST00000450926.2
chr1	1247203	1260017	-	ENSEMBL	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	KNOWN	CPSF3L-202	ENSG00000127054.14	ENST00000545578.1
chr1	1249125	1260010	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	NOVEL	CPSF3L-017	ENSG00000127054.14	ENST00000434694.2
chr1	1250207	1260040	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	PUTATIVE	CPSF3L-038	ENSG00000127054.14	ENST00000526332.1
chr1	1250296	1260051	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	PUTATIVE	CPSF3L-030	ENSG00000127054.14	ENST00000527719.1
chr1	1250298	1260039	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	NOVEL	CPSF3L-034	ENSG00000127054.14	ENST00000530031.1
chr1	1254686	1260051	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	NOVEL	CPSF3L-032	ENSG00000127054.14	ENST00000534345.1
chr1	1254783	1260040	-	HAVANA	transcript	protein_coding	KNOWN	CPSF3L	protein_coding	NOVEL	CPSF3L-031	ENSG00000127054.14	ENST00000498476.2
chr1	1260147	1264277	+	HAVANA	transcript	protein_coding	KNOWN	GLTPD1	protein_coding	KNOWN	GLTPD1-001	ENSG00000224051.2	ENST00000343938.4
chr1	1260621	1262851	+	HAVANA	transcript	protein_coding	KNOWN	GLTPD1	protein_coding	KNOWN	GLTPD1-003	ENSG00000224051.2	ENST00000488011.1
chr1	1266694	1270686	+	HAVANA	transcript	protein_coding	KNOWN	TAS1R3	protein_coding	KNOWN	TAS1R3-001	ENSG00000169962.4	ENST00000339381.5
chr1	1270656	1284492	-	HAVANA	transcript	protein_coding	KNOWN	DVL1	protein_coding	KNOWN	DVL1-001	ENSG00000107404.13	ENST00000378891.5
chr1	1270656	1284730	-	HAVANA	transcript	protein_coding	KNOWN	DVL1	protein_coding	KNOWN	DVL1-004	ENSG00000107404.13	ENST00000378888.5
chr1	1288071	1293915	-	HAVANA	transcript	protein_coding	KNOWN	MXRA8	protein_coding	KNOWN	MXRA8-001	ENSG00000162576.12	ENST00000309212.6
chr1	1288072	1293923	-	HAVANA	transcript	protein_coding	KNOWN	MXRA8	protein_coding	KNOWN	MXRA8-003	ENSG00000162576.12	ENST00000445648.2
chr1	1288072	1297157	-	HAVANA	transcript	protein_coding	KNOWN	MXRA8	protein_coding	NOVEL	MXRA8-002	ENSG00000162576.12	ENST00000477278.2
chr1	1288072	1293920	-	ENSEMBL	transcript	protein_coding	KNOWN	MXRA8	protein_coding	KNOWN	MXRA8-201	ENSG00000162576.12	ENST00000342753.4
chr1	1309110	1310537	-	HAVANA	transcript	protein_coding	KNOWN	AURKAIP1	protein_coding	KNOWN	AURKAIP1-002	ENSG00000175756.9	ENST00000338370.3
chr1	1309110	1310875	-	HAVANA	transcript	protein_coding	KNOWN	AURKAIP1	protein_coding	KNOWN	AURKAIP1-001	ENSG00000175756.9	ENST00000338338.5
chr1	1309112	1310549	-	HAVANA	transcript	protein_coding	KNOWN	AURKAIP1	protein_coding	KNOWN	AURKAIP1-006	ENSG00000175756.9	ENST00000321751.5
chr1	1309117	1310553	-	HAVANA	transcript	protein_coding	KNOWN	AURKAIP1	protein_coding	KNOWN	AURKAIP1-003	ENSG00000175756.9	ENST00000378853.3
chr1	1321862	1333684	-	ENSEMBL	transcript	protein_coding	KNOWN	CCNL2	protein_coding	KNOWN	CCNL2-201	ENSG00000221978.7	ENST00000408952.5
chr1	1321875	1334692	-	HAVANA	transcript	protein_coding	KNOWN	CCNL2	protein_coding	KNOWN	CCNL2-001	ENSG00000221978.7	ENST00000400809.3
chr1	1327668	1334697	-	HAVANA	transcript	protein_coding	KNOWN	CCNL2	protein_coding	KNOWN	CCNL2-002	ENSG00000221978.7	ENST00000408918.4
chr1	1330817	1334336	-	HAVANA	transcript	protein_coding	KNOWN	CCNL2	protein_coding	PUTATIVE	CCNL2-011	ENSG00000221978.7	ENST00000497013.1
chr1	1334902	1336467	+	HAVANA	transcript	protein_coding	NOVEL	RP4-758J18.2	protein_coding	PUTATIVE	RP4-758J18.2-004	ENSG00000224870.3	ENST00000448629.2
chr1	1334907	1337426	+	HAVANA	transcript	protein_coding	NOVEL	RP4-758J18.2	protein_coding	PUTATIVE	RP4-758J18.2-001	ENSG00000224870.3	ENST00000444362.1
chr1	1334932	1335988	+	HAVANA	transcript	protein_coding	NOVEL	RP4-758J18.2	protein_coding	PUTATIVE	RP4-758J18.2-008	ENSG00000224870.3	ENST00000576232.1
chr1	1334942	1335924	+	HAVANA	transcript	protein_coding	NOVEL	RP4-758J18.2	protein_coding	PUTATIVE	RP4-758J18.2-009	ENSG00000224870.3	ENST00000570344.1
chr1	1337288	1342693	-	HAVANA	transcript	protein_coding	KNOWN	MRPL20	protein_coding	KNOWN	MRPL20-001	ENSG00000242485.1	ENST00000344843.7
chr1	1337562	1342378	-	HAVANA	transcript	protein_coding	KNOWN	MRPL20	protein_coding	PUTATIVE	MRPL20-004	ENSG00000242485.1	ENST00000492508.1
chr1	1340489	1342670	-	HAVANA	transcript	protein_coding	KNOWN	MRPL20	protein_coding	PUTATIVE	MRPL20-003	ENSG00000242485.1	ENST00000482352.1
chr1	1353800	1356824	-	HAVANA	transcript	protein_coding	KNOWN	ANKRD65	protein_coding	PUTATIVE	ANKRD65-005	ENSG00000235098.4	ENST00000520296.1
chr1	1353800	1357149	-	HAVANA	transcript	protein_coding	KNOWN	ANKRD65	protein_coding	PUTATIVE	ANKRD65-001	ENSG00000235098.4	ENST00000427211.1
chr1	1353804	1356650	-	ENSEMBL	transcript	protein_coding	KNOWN	ANKRD65	protein_coding	KNOWN	ANKRD65-201	ENSG00000235098.4	ENST00000537107.1
chr1	1354518	1356640	-	HAVANA	transcript	protein_coding	KNOWN	ANKRD65	protein_coding	PUTATIVE	ANKRD65-002	ENSG00000235098.4	ENST00000442470.1
chr1	1355625	1356272	-	HAVANA	transcript	protein_coding	KNOWN	ANKRD65	protein_coding	PUTATIVE	ANKRD65-003	ENSG00000235098.4	ENST00000436362.1
chr1	1361508	1363167	+	HAVANA	transcript	protein_coding	KNOWN	TMEM88B	protein_coding	NOVEL	TMEM88B-001	ENSG00000205116.3	ENST00000378821.3
chr1	1370241	1372839	+	HAVANA	transcript	protein_coding	KNOWN	VWA1	protein_coding	PUTATIVE	VWA1-003	ENSG00000179403.10	ENST00000495558.1
chr1	1370903	1376145	+	HAVANA	transcript	protein_coding	KNOWN	VWA1	protein_coding	KNOWN	VWA1-002	ENSG00000179403.10	ENST00000338660.5
chr1	1370903	1378262	+	ENSEMBL	transcript	protein_coding	KNOWN	VWA1	protein_coding	KNOWN	VWA1-201	ENSG00000179403.10	ENST00000404702.3
chr1	1371051	1378262	+	HAVANA	transcript	protein_coding	KNOWN	VWA1	protein_coding	KNOWN	VWA1-001	ENSG00000179403.10	ENST00000476993.1
chr1	1371115	1372557	+	HAVANA	transcript	protein_coding	KNOWN	VWA1	protein_coding	PUTATIVE	VWA1-004	ENSG00000179403.10	ENST00000471398.1
chr1	1385069	1405538	+	HAVANA	transcript	protein_coding	KNOWN	ATAD3C	protein_coding	KNOWN	ATAD3C-001	ENSG00000215915.5	ENST00000378785.2
chr1	1385294	1391282	+	HAVANA	transcript	protein_coding	KNOWN	ATAD3C	protein_coding	NOVEL	ATAD3C-003	ENSG00000215915.5	ENST00000475091.2
chr1	1407143	1418486	+	ENSEMBL	transcript	protein_coding	KNOWN	ATAD3B	protein_coding	KNOWN	ATAD3B-201	ENSG00000160072.15	ENST00000378741.3
chr1	1407149	1431582	+	HAVANA	transcript	protein_coding	KNOWN	ATAD3B	protein_coding	KNOWN	ATAD3B-001	ENSG00000160072.15	ENST00000308647.7
chr1	1447531	1470065	+	HAVANA	transcript	protein_coding	KNOWN	ATAD3A	protein_coding	KNOWN	ATAD3A-001	ENSG00000197785.9	ENST00000378756.3
chr1	1447555	1470065	+	HAVANA	transcript	protein_coding	KNOWN	ATAD3A	protein_coding	KNOWN	ATAD3A-003	ENSG00000197785.9	ENST00000378755.5
chr1	1447910	1470065	+	HAVANA	transcript	protein_coding	KNOWN	ATAD3A	protein_coding	KNOWN	ATAD3A-002	ENSG00000197785.9	ENST00000339113.4
chr1	1447910	1470067	+	ENSEMBL	transcript	protein_coding	KNOWN	ATAD3A	protein_coding	KNOWN	ATAD3A-201	ENSG00000197785.9	ENST00000536055.1
chr1	1459653	1464711	+	HAVANA	transcript	protein_coding	KNOWN	ATAD3A	protein_coding	KNOWN	ATAD3A-006	ENSG00000197785.9	ENST00000400830.3
chr1	1470554	1475737	-	HAVANA	transcript	protein_coding	KNOWN	TMEM240	protein_coding	KNOWN	TMEM240-001	ENSG00000205090.4	ENST00000378733.4
chr1	1470587	1475833	-	ENSEMBL	transcript	protein_coding	KNOWN	TMEM240	protein_coding	KNOWN	TMEM240-201	ENSG00000205090.4	ENST00000425828.1
chr1	1477053	1510249	-	HAVANA	transcript	protein_coding	KNOWN	SSU72	protein_coding	KNOWN	SSU72-001	ENSG00000160075.10	ENST00000291386.3
chr1	1497725	1509964	-	HAVANA	transcript	protein_coding	KNOWN	SSU72	protein_coding	KNOWN	SSU72-003	ENSG00000160075.10	ENST00000359060.4
chr1	1510355	1511373	+	ENSEMBL	transcript	protein_coding	KNOWN	AL645728.1	protein_coding	KNOWN	AL645728.1-201	ENSG00000215014.3	ENST00000366221.2
chr1	1533392	1535476	-	HAVANA	transcript	protein_coding	KNOWN	C1orf233	protein_coding	KNOWN	C1orf233-001	ENSG00000228594.1	ENST00000422725.1
chr1	1550795	1565985	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	KNOWN	MIB2-022	ENSG00000197530.8	ENST00000520777.1
chr1	1550795	1565990	+	ENSEMBL	transcript	protein_coding	KNOWN	MIB2	protein_coding	KNOWN	MIB2-201	ENSG00000197530.8	ENST00000357210.4
chr1	1550795	1565990	+	ENSEMBL	transcript	protein_coding	KNOWN	MIB2	protein_coding	KNOWN	MIB2-202	ENSG00000197530.8	ENST00000360522.4
chr1	1550795	1565990	+	ENSEMBL	transcript	protein_coding	KNOWN	MIB2	protein_coding	KNOWN	MIB2-203	ENSG00000197530.8	ENST00000378710.3
chr1	1550801	1565990	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	KNOWN	MIB2-001	ENSG00000197530.8	ENST00000355826.5
chr1	1550817	1565985	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	KNOWN	MIB2-003	ENSG00000197530.8	ENST00000518681.1
chr1	1550823	1565985	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	KNOWN	MIB2-016	ENSG00000197530.8	ENST00000505820.2
chr1	1551285	1565984	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	PUTATIVE	MIB2-006	ENSG00000197530.8	ENST00000378712.1
chr1	1551654	1560281	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	PUTATIVE	MIB2-026	ENSG00000197530.8	ENST00000510793.1
chr1	1551690	1565984	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	PUTATIVE	MIB2-019	ENSG00000197530.8	ENST00000504599.1
chr1	1552788	1560201	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	PUTATIVE	MIB2-028	ENSG00000197530.8	ENST00000503789.1
chr1	1552940	1565984	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	PUTATIVE	MIB2-008	ENSG00000197530.8	ENST00000378708.1
chr1	1559182	1565984	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	NOVEL	MIB2-021	ENSG00000197530.8	ENST00000514234.1
chr1	1563869	1565969	+	HAVANA	transcript	protein_coding	KNOWN	MIB2	protein_coding	NOVEL	MIB2-014	ENSG00000197530.8	ENST00000483015.1
chr1	1567474	1570030	+	HAVANA	transcript	protein_coding	KNOWN	MMP23B	protein_coding	KNOWN	MMP23B-001	ENSG00000189409.8	ENST00000356026.5
chr1	1567542	1568499	+	HAVANA	transcript	protein_coding	KNOWN	MMP23B	protein_coding	PUTATIVE	MMP23B-005	ENSG00000189409.8	ENST00000472264.1
chr1	1567558	1570030	+	HAVANA	transcript	protein_coding	KNOWN	MMP23B	protein_coding	PUTATIVE	MMP23B-002	ENSG00000189409.8	ENST00000378675.3
chr1	1568162	1570027	+	HAVANA	transcript	protein_coding	KNOWN	MMP23B	protein_coding	PUTATIVE	MMP23B-003	ENSG00000189409.8	ENST00000479814.1
chr1	1568582	1569944	+	HAVANA	transcript	protein_coding	KNOWN	MMP23B	protein_coding	PUTATIVE	MMP23B-004	ENSG00000189409.8	ENST00000435358.1
chr1	1568582	1569944	+	HAVANA	transcript	protein_coding	KNOWN	MMP23B	protein_coding	PUTATIVE	MMP23B-010	ENSG00000189409.8	ENST00000503792.1
chr1	1570603	1580623	-	HAVANA	transcript	protein_coding	KNOWN	CDK11B	protein_coding	PUTATIVE	CDK11B-002	ENSG00000248333.3	ENST00000513088.2
chr1	1571100	1588935	-	ENSEMBL	transcript	protein_coding	KNOWN	CDK11B	protein_coding	KNOWN	CDK11B-204	ENSG00000248333.3	ENST00000407249.3
chr1	1571100	1588935	-	ENSEMBL	transcript	protein_coding	KNOWN	CDK11B	protein_coding	KNOWN	CDK11B-201	ENSG00000248333.3	ENST00000317673.7
chr1	1571100	1588935	-	ENSEMBL	transcript	protein_coding	KNOWN	CDK11B	protein_coding	KNOWN	CDK11B-202	ENSG00000248333.3	ENST00000340677.5
chr1	1571100	1588714	-	ENSEMBL	transcript	protein_coding	KNOWN	CDK11B	protein_coding	KNOWN	CDK11B-203	ENSG00000248333.3	ENST00000341832.6
